Dataset,Method,PDS (mean±std),MAE (mean±std),DES (mean±std),E-Distance (mean±std),MMD (mean±std),R2 (mean±std),Pearson (all genes) (mean±std),Pearson Delta (all genes) (mean±std),Pearson Delta (top 20 DE genes) (mean±std),Pearson Delta (top 50 DE genes) (mean±std),Pearson Delta (top 100 DE genes) (mean±std),Run1 PDS,Run1 MAE,Run1 DES,Run1 E-Distance,Run1 MMD,Run1 R2,Run1 Pearson (all genes),Run1 Pearson Delta (all genes),Run1 Pearson Delta (top 20 DE genes),Run1 Pearson Delta (top 50 DE genes),Run1 Pearson Delta (top 100 DE genes),Run2 PDS,Run2 MAE,Run2 DES,Run2 E-Distance,Run2 MMD,Run2 R2,Run2 Pearson (all genes),Run2 Pearson Delta (all genes),Run2 Pearson Delta (top 20 DE genes),Run2 Pearson Delta (top 50 DE genes),Run2 Pearson Delta (top 100 DE genes),Run3 PDS,Run3 MAE,Run3 DES,Run3 E-Distance,Run3 MMD,Run3 R2,Run3 Pearson (all genes),Run3 Pearson Delta (all genes),Run3 Pearson Delta (top 20 DE genes),Run3 Pearson Delta (top 50 DE genes),Run3 Pearson Delta (top 100 DE genes)
B,scGen,0.000000±0.000000,0.018067±0.000451,0.015300±0.000000,0.000000±0.000000,0.310600±0.014047,0.377767±0.008259,0.921900±0.013016,0.690067±0.043494,0.920300±0.005696,0.895333±0.024455,0.825500±0.026108,0.000000,0.018500,0.015300,0.000000,0.325500,0.369000,0.908000,0.639900,0.919100,0.869100,0.795400,0.000000,0.017600,0.015300,0.000000,0.297600,0.385400,0.933800,0.717200,0.926500,0.917500,0.842000,0.000000,0.018100,0.015300,0.000000,0.308700,0.378900,0.923900,0.713100,0.915300,0.899400,0.839100
NK,scGen,0.000000±0.000000,0.017633±0.000551,0.009100±0.000000,0.000000±0.000000,0.305567±0.003101,0.333567±0.002570,0.909700±0.001179,0.656033±0.021233,0.858533±0.012444,0.852800±0.003700,0.734300±0.013286,0.000000,0.017600,0.009100,0.000000,0.303300,0.333200,0.911000,0.651400,0.860300,0.849500,0.728500,0.000000,0.018200,0.009100,0.000000,0.309100,0.336300,0.908700,0.679200,0.845300,0.856800,0.749500,0.000000,0.017100,0.009100,0.000000,0.304300,0.331200,0.909400,0.637500,0.870000,0.852100,0.724900
B,scrna_ddpm_scrna_scgen(6998),1.000000±0.000000,0.131633±0.000513,0.313333±0.005774,103.950733±0.019862,0.795300±0.000000,-18.459000±0.005242,0.004000±0.005505,0.093933±0.001570,0.281167±0.028696,0.450733±0.006574,0.345600±0.004359,1.000000,0.132200,0.310000,103.927800,0.795300,-18.460400,0.010100,0.093400,0.314300,0.456100,0.350600,1.000000,0.131500,0.320000,103.962400,0.795300,-18.463400,-0.000600,0.092700,0.264900,0.452700,0.342600,1.000000,0.131200,0.310000,103.962000,0.795300,-18.453200,0.002500,0.095700,0.264300,0.443400,0.343600
NK,scrna_ddpm_scrna_scgen(6998),1.000000±0.000000,0.131400±0.000436,0.376667±0.020817,103.420667±0.020239,0.795500±0.000000,-17.782500±0.003811,0.001300±0.006619,0.087833±0.001137,0.666367±0.009056,0.449367±0.009111,0.385500±0.005656,1.000000,0.131900,0.360000,103.397300,0.795500,-17.780300,0.008400,0.086900,0.656500,0.441400,0.379000,1.000000,0.131200,0.400000,103.432700,0.795500,-17.780300,-0.004700,0.087500,0.668300,0.459300,0.389300,1.000000,0.131100,0.370000,103.432000,0.795500,-17.786900,0.000200,0.089100,0.674300,0.447400,0.388200
B,mlp_ddpm_mlp_scgen(6998),1.000000±0.000000,0.094233±0.016381,0.346667±0.035119,29.939733±1.377893,0.657467±0.031986,-0.269400±0.073294,-0.006400±0.002390,0.110900±0.005828,0.341400±0.045988,0.431367±0.003950,0.337133±0.003265,1.000000,0.086900,0.380000,29.363500,0.644500,-0.234700,-0.005900,0.113700,0.303600,0.426900,0.333700,1.000000,0.113000,0.310000,31.512200,0.693900,-0.353600,-0.009000,0.104200,0.328000,0.432800,0.337500,1.000000,0.082800,0.350000,28.943500,0.634000,-0.219900,-0.004300,0.114800,0.392600,0.434400,0.340200
NK,mlp_ddpm_mlp_scgen(6998),1.000000±0.000000,0.091400±0.015980,0.400000±0.020000,29.612767±1.171051,0.603433±0.027936,-0.245567±0.059915,-0.000500±0.008426,0.124533±0.005292,0.652033±0.023410,0.462533±0.010058,0.398633±0.011600,1.000000,0.084300,0.400000,29.155300,0.593400,-0.215000,-0.009500,0.123400,0.632800,0.451200,0.387000,1.000000,0.109700,0.380000,30.943500,0.635000,-0.314600,0.007200,0.119900,0.645200,0.466000,0.410200,1.000000,0.080200,0.420000,28.739500,0.581900,-0.207100,0.000800,0.130300,0.678100,0.470400,0.398700
B,scDiffusion(6998),0.000000±0.000000,0.087867±0.002074,0.087000±0.000000,68.542667±0.489235,0.297767±0.006561,0.156033±0.010561,0.837633±0.011504,0.411633±0.026331,0.814367±0.002438,0.793100±0.015815,0.681433±0.023188,0.000000,0.087500,0.087000,68.644000,0.296100,0.144700,0.839800,0.401100,0.811600,0.790900,0.672800,0.000000,0.086000,0.087000,68.010700,0.292200,0.157800,0.847900,0.441600,0.816200,0.809900,0.707700,0.000000,0.090100,0.087000,68.973300,0.305000,0.165600,0.825200,0.392200,0.815300,0.778500,0.663800
NK,scDiffusion(6998),0.000000±0.000000,0.086133±0.001266,0.000000±0.000000,69.454700±0.355713,0.294533±0.002294,0.129967±0.025374,0.828767±0.003449,0.350933±0.019561,0.478233±0.014711,0.580233±0.001739,0.585400±0.002646,0.000000,0.085000,0.000000,69.134000,0.296100,0.150500,0.832500,0.365500,0.492600,0.579600,0.587400,0.000000,0.087500,0.000000,69.837300,0.291900,0.101600,0.825700,0.328700,0.463200,0.578900,0.582400,0.000000,0.085900,0.000000,69.392800,0.295600,0.137800,0.828100,0.358600,0.478900,0.582200,0.586400
B,Squidiff,1.000000±0.000000,60.843867±3.282381,0.010000±0.000000,12794.709867±735.903067,0.786100±0.000000,-213650.656233±25389.726843,0.016000±0.034987,-0.012300±0.007708,-0.095767±0.005519,0.046433±0.004283,-0.024400±0.009100,1.000000,62.738800,0.010000,13219.553000,0.786100,-228308.453100,-0.004200,-0.016800,-0.093800,0.048600,-0.030000,1.000000,62.739100,0.010000,13219.614400,0.786100,-228310.390600,-0.004200,-0.016700,-0.091500,0.049200,-0.029300,1.000000,57.053700,0.010000,11944.962200,0.786100,-184333.125000,0.056400,-0.003400,-0.102000,0.041500,-0.013900
NK,Squidiff,1.000000±0.000000,60.889467±3.267658,0.006667±0.005774,12849.138933±733.522075,0.795900±0.000000,-206493.161467±24350.920413,0.020900±0.030138,-0.004400±0.004677,-0.108700±0.064607,-0.072900±0.032823,0.020600±0.033602,1.000000,62.775800,0.010000,13272.590800,0.795900,-220550.796900,0.003500,-0.007100,-0.146400,-0.091700,0.001200,1.000000,62.776300,0.010000,13272.685400,0.795900,-220553.546900,0.003500,-0.007100,-0.145600,-0.092000,0.001200,1.000000,57.116300,0.000000,12002.140600,0.795900,-178375.140600,0.055700,0.001000,-0.034100,-0.035000,0.059400
