gene_order,Method,cell_type,task,n_genes,PDS (mean±std),MAE (mean±std),DES (mean±std),E-Distance (mean±std),MMD (mean±std),R2 (mean±std),Pearson (all genes) (mean±std),Pearson Delta (all genes) (mean±std),Pearson Delta (top 20 DE genes) (mean±std),Pearson Delta (top 50 DE genes) (mean±std),Pearson Delta (top 100 DE genes) (mean±std),Run1 PDS,Run1 MAE,Run1 DES,Run1 E-Distance,Run1 MMD,Run1 R2,Run1 Pearson (all genes),Run1 Pearson Delta (all genes),Run1 Pearson Delta (top 20 DE genes),Run1 Pearson Delta (top 50 DE genes),Run1 Pearson Delta (top 100 DE genes),Run2 PDS,Run2 MAE,Run2 DES,Run2 E-Distance,Run2 MMD,Run2 R2,Run2 Pearson (all genes),Run2 Pearson Delta (all genes),Run2 Pearson Delta (top 20 DE genes),Run2 Pearson Delta (top 50 DE genes),Run2 Pearson Delta (top 100 DE genes),Run3 PDS,Run3 MAE,Run3 DES,Run3 E-Distance,Run3 MMD,Run3 R2,Run3 Pearson (all genes),Run3 Pearson Delta (all genes),Run3 Pearson Delta (top 20 DE genes),Run3 Pearson Delta (top 50 DE genes),Run3 Pearson Delta (top 100 DE genes),source_csv
cluster,DDPM,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.1153±0.0051,0.5700±0.0100,25.7511±0.1099,0.6097±0.0064,-4.3205±0.0275,0.6166±0.0132,0.3314±0.0084,0.4751±0.0085,0.5256±0.0049,0.4566±0.0097,1.0,0.1197,0.56,25.7683,0.6141,-4.2977,0.6051,0.3288,0.4819,0.526,0.4551,1.0,0.1165,0.58,25.8513,0.6126,-4.3511,0.6136,0.3247,0.4655,0.5205,0.4477,1.0,0.1098,0.57,25.6336,0.6024,-4.3127,0.631,0.3408,0.4778,0.5302,0.467,/data/ppnm/data/PertDiffBench/samples/supp/cluster/CD4T/scrna_ddpm_scrna_1000/metrics_ddpm_CD4T_hvg_1000.csv
shuffle,DDPM,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.1202±0.0030,0.5833±0.0208,26.2920±0.2050,0.6222±0.0028,-4.4654±0.0866,0.5687±0.0162,0.2903±0.0108,0.4542±0.0111,0.5023±0.0046,0.4206±0.0064,1.0,0.1228,0.6,26.172,0.6221,-4.4054,0.5725,0.2966,0.4472,0.505,0.4256,1.0,0.1209,0.56,26.5287,0.625,-4.5647,0.551,0.2778,0.467,0.505,0.4134,1.0,0.117,0.59,26.1752,0.6195,-4.4262,0.5827,0.2965,0.4484,0.497,0.4229,/data/ppnm/data/PertDiffBench/samples/supp/shuffle/CD4T/scrna_ddpm_scrna_1000/metrics_ddpm_CD4T_hvg_1000.csv
cluster,DDPM+MLP,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.1387±0.0106,0.4500±0.0300,15.7887±0.2168,0.6640±0.0094,-0.1816±0.0223,-0.0176±0.0236,0.1071±0.0075,0.4883±0.0247,0.5366±0.0102,0.4426±0.0067,1.0,0.1385,0.45,15.7394,0.6621,-0.1731,0.008,0.1012,0.4924,0.5473,0.435,1.0,0.1282,0.48,15.6008,0.6557,-0.1648,-0.0384,0.1046,0.5106,0.5271,0.4448,1.0,0.1493,0.42,16.0259,0.6743,-0.2069,-0.0224,0.1155,0.4618,0.5354,0.4479,/data/ppnm/data/PertDiffBench/samples/supp/cluster/CD4T/mlp_ddpm_mlp_1000/metrics_mlp_ddpm_mlp_CD4T_hvg_1000.csv
shuffle,DDPM+MLP,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.1303±0.0022,0.4767±0.0115,15.6487±0.0777,0.6579±0.0033,-0.1711±0.0092,-0.0232±0.0088,0.1018±0.0061,0.4654±0.0156,0.5265±0.0040,0.4233±0.0066,1.0,0.1281,0.49,15.5804,0.6552,-0.1609,-0.0158,0.1005,0.4474,0.5272,0.4239,1.0,0.1303,0.47,15.6324,0.6569,-0.1735,-0.0209,0.0965,0.475,0.5222,0.4165,1.0,0.1325,0.47,15.7332,0.6616,-0.1789,-0.033,0.1085,0.4737,0.5302,0.4296,/data/ppnm/data/PertDiffBench/samples/supp/shuffle/CD4T/mlp_ddpm_mlp_1000/metrics_mlp_ddpm_mlp_CD4T_hvg_1000.csv
cluster,Squidiff,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,1.2847±0.0000,0.4000±0.0000,108.7550±0.0000,0.5847±0.0000,-129.1760±0.0000,0.6127±0.0000,0.6845±0.0000,0.9296±0.0000,0.8864±0.0000,0.8535±0.0000,1.0,1.2847,0.4,108.7555,0.5847,-129.1761,0.6127,0.6845,0.9296,0.8864,0.8535,1.0,1.2847,0.4,108.7555,0.5847,-129.1761,0.6127,0.6845,0.9296,0.8864,0.8535,1.0,1.2847,0.4,108.7555,0.5847,-129.1761,0.6127,0.6845,0.9296,0.8864,0.8535,/data/ppnm/data/PertDiffBench/samples/supp/cluster/CD4T/squidiff_1000/metrics_Squidiff_CD4T_hvg_1000.csv
shuffle,Squidiff,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.9271±0.0000,0.5100±0.0000,83.7539±0.0000,0.5603±0.0000,-90.1795±0.0000,0.7416±0.0000,0.8042±0.0000,0.9423±0.0000,0.9002±0.0000,0.8873±0.0000,1.0,0.9271,0.51,83.7539,0.5603,-90.1795,0.7416,0.8042,0.9423,0.9002,0.8873,1.0,0.9271,0.51,83.7539,0.5603,-90.1795,0.7416,0.8042,0.9423,0.9002,0.8873,1.0,0.9271,0.51,83.7539,0.5603,-90.1795,0.7416,0.8042,0.9423,0.9002,0.8873,/data/ppnm/data/PertDiffBench/samples/supp/shuffle/CD4T/squidiff_1000/metrics_Squidiff_CD4T_hvg_1000.csv
cluster,scDiff,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.4294±0.0000,1.0000±0.0000,37.4317±0.0000,0.9691±0.0000,-4.6305±0.0000,0.0276±0.0000,0.0455±0.0000,0.4756±0.0000,0.5077±0.0000,0.3064±0.0000,1.0,0.4294,1.0,37.4317,0.9691,-4.6305,0.0276,0.0455,0.4756,0.5077,0.3064,1.0,0.4294,1.0,37.4317,0.9691,-4.6305,0.0276,0.0455,0.4756,0.5077,0.3064,1.0,0.4294,1.0,37.4317,0.9691,-4.6305,0.0276,0.0455,0.4756,0.5077,0.3064,/data/ppnm/data/PertDiffBench/samples/supp/cluster/CD4T/scdiff_1000/metrics_scDiff_CD4T_hvg_1000.csv
shuffle,scDiff,CD4T,fig1_task1_known_condition,1000,1.0000±0.0000,0.4269±0.0000,1.0000±0.0000,36.8288±0.0000,0.9577±0.0000,-4.5262±0.0000,-0.0075±0.0000,-0.0219±0.0000,0.4648±0.0000,0.3348±0.0000,0.1344±0.0000,1.0,0.4269,1.0,36.8288,0.9577,-4.5262,-0.0075,-0.0219,0.4648,0.3348,0.1344,1.0,0.4269,1.0,36.8288,0.9577,-4.5262,-0.0075,-0.0219,0.4648,0.3348,0.1344,1.0,0.4269,1.0,36.8288,0.9577,-4.5262,-0.0075,-0.0219,0.4648,0.3348,0.1344,/data/ppnm/data/PertDiffBench/samples/supp/shuffle/CD4T/scdiff_1000/metrics_scDiff_CD4T_hvg_1000.csv
cluster,scDiffusion,CD4T,fig1_task1_known_condition,1000,0.0000±0.0000,0.2627±0.0264,0.2117±0.0667,54.4712±2.2243,0.2193±0.0165,-1.1230±0.3702,0.7978±0.0458,0.5823±0.0673,0.7439±0.0597,0.9082±0.0199,0.8501±0.0265,0.0,0.2798,0.2568,55.406,0.2383,-1.1168,0.7746,0.5177,0.7001,0.8943,0.8259,0.0,0.2323,0.1351,51.9321,0.2103,-0.7559,0.8506,0.652,0.8119,0.931,0.8784,0.0,0.2761,0.2432,56.0756,0.2093,-1.4962,0.7682,0.5772,0.7197,0.8994,0.8461,/data/ppnm/data/PertDiffBench/samples/supp/cluster/CD4T/scDiffusion_1000/metrics_scDiffusion_CD4T_hvg_1000.csv
shuffle,scDiffusion,CD4T,fig1_task1_known_condition,1000,0.0000±0.0000,0.0807±0.0028,0.0270±0.0000,37.8694±0.0505,0.2278±0.0036,0.3278±0.0071,0.9782±0.0017,0.9489±0.0055,0.9791±0.0045,0.9887±0.0011,0.9825±0.0021,0.0,0.0781,0.027,37.869,0.2239,0.3207,0.9797,0.9546,0.9828,0.9897,0.9842,0.0,0.0805,0.027,37.8191,0.2286,0.3348,0.9785,0.9485,0.9803,0.9888,0.9831,0.0,0.0836,0.027,37.92,0.2309,0.3278,0.9763,0.9436,0.9741,0.9875,0.9801,/data/ppnm/data/PertDiffBench/samples/supp/shuffle/CD4T/scDiffusion_1000/metrics_scDiffusion_CD4T_hvg_1000.csv
cluster,scGen,CD4T,fig1_task1_known_condition,1000,0.0000±0.0000,0.0148±0.0020,0.0159±0.0000,8.9237±0.0488,0.1773±0.0068,0.3265±0.0127,0.9916±0.0031,0.9799±0.0066,0.9951±0.0032,0.9924±0.0041,0.9895±0.0047,0.0,0.0136,0.0159,8.9329,0.1696,0.3174,0.9933,0.9833,0.9968,0.993,0.9899,0.0,0.0138,0.0159,8.871,0.1823,0.341,0.9935,0.984,0.9971,0.9962,0.994,0.0,0.0171,0.0159,8.9672,0.1801,0.3211,0.9881,0.9723,0.9915,0.9881,0.9847,/data/ppnm/data/PertDiffBench/samples/supp/cluster/CD4T/scgen_1000/metrics_scGen_CD4T_hvg_1000.csv
shuffle,scGen,CD4T,fig1_task1_known_condition,1000,0.0000±0.0000,0.0141±0.0002,0.0159±0.0000,8.9868±0.0066,0.1650±0.0010,0.3042±0.0016,0.9927±0.0006,0.9805±0.0021,0.9958±0.0006,0.9931±0.0018,0.9900±0.0015,0.0,0.014,0.0159,8.993,0.1644,0.3052,0.9921,0.9828,0.9957,0.9951,0.9914,0.0,0.0144,0.0159,8.9799,0.1644,0.3051,0.9932,0.9797,0.9952,0.9925,0.9901,0.0,0.014,0.0159,8.9874,0.1662,0.3024,0.9929,0.9789,0.9964,0.9916,0.9885,/data/ppnm/data/PertDiffBench/samples/supp/shuffle/CD4T/scgen_1000/metrics_scGen_CD4T_hvg_1000.csv
