gene_order,Method,PDS (mean±std),MAE (mean±std),DES (mean±std),E-Distance (mean±std),MMD (mean±std),R2 (mean±std),Pearson (all genes) (mean±std),Pearson Delta (all genes) (mean±std),Pearson Delta (top 20 DE genes) (mean±std),Pearson Delta (top 50 DE genes) (mean±std),Pearson Delta (top 100 DE genes) (mean±std)
cluster,DDPM,1.0000±0.0000,0.1153±0.0051,0.5700±0.0100,25.7511±0.1099,0.6097±0.0064,-4.3205±0.0275,0.6166±0.0132,0.3314±0.0084,0.4751±0.0085,0.5256±0.0049,0.4566±0.0097
shuffle,DDPM,1.0000±0.0000,0.1202±0.0030,0.5833±0.0208,26.2920±0.2050,0.6222±0.0028,-4.4654±0.0866,0.5687±0.0162,0.2903±0.0108,0.4542±0.0111,0.5023±0.0046,0.4206±0.0064
cluster,DDPM+MLP,1.0000±0.0000,0.1387±0.0106,0.4500±0.0300,15.7887±0.2168,0.6640±0.0094,-0.1816±0.0223,-0.0176±0.0236,0.1071±0.0075,0.4883±0.0247,0.5366±0.0102,0.4426±0.0067
shuffle,DDPM+MLP,1.0000±0.0000,0.1303±0.0022,0.4767±0.0115,15.6487±0.0777,0.6579±0.0033,-0.1711±0.0092,-0.0232±0.0088,0.1018±0.0061,0.4654±0.0156,0.5265±0.0040,0.4233±0.0066
cluster,Squidiff,1.0000±0.0000,1.2847±0.0000,0.4000±0.0000,108.7550±0.0000,0.5847±0.0000,-129.1760±0.0000,0.6127±0.0000,0.6845±0.0000,0.9296±0.0000,0.8864±0.0000,0.8535±0.0000
shuffle,Squidiff,1.0000±0.0000,0.9271±0.0000,0.5100±0.0000,83.7539±0.0000,0.5603±0.0000,-90.1795±0.0000,0.7416±0.0000,0.8042±0.0000,0.9423±0.0000,0.9002±0.0000,0.8873±0.0000
cluster,scDiff,1.0000±0.0000,0.4294±0.0000,1.0000±0.0000,37.4317±0.0000,0.9691±0.0000,-4.6305±0.0000,0.0276±0.0000,0.0455±0.0000,0.4756±0.0000,0.5077±0.0000,0.3064±0.0000
shuffle,scDiff,1.0000±0.0000,0.4269±0.0000,1.0000±0.0000,36.8288±0.0000,0.9577±0.0000,-4.5262±0.0000,-0.0075±0.0000,-0.0219±0.0000,0.4648±0.0000,0.3348±0.0000,0.1344±0.0000
cluster,scDiffusion,0.0000±0.0000,0.2627±0.0264,0.2117±0.0667,54.4712±2.2243,0.2193±0.0165,-1.1230±0.3702,0.7978±0.0458,0.5823±0.0673,0.7439±0.0597,0.9082±0.0199,0.8501±0.0265
shuffle,scDiffusion,0.0000±0.0000,0.0807±0.0028,0.0270±0.0000,37.8694±0.0505,0.2278±0.0036,0.3278±0.0071,0.9782±0.0017,0.9489±0.0055,0.9791±0.0045,0.9887±0.0011,0.9825±0.0021
cluster,scGen,0.0000±0.0000,0.0148±0.0020,0.0159±0.0000,8.9237±0.0488,0.1773±0.0068,0.3265±0.0127,0.9916±0.0031,0.9799±0.0066,0.9951±0.0032,0.9924±0.0041,0.9895±0.0047
shuffle,scGen,0.0000±0.0000,0.0141±0.0002,0.0159±0.0000,8.9868±0.0066,0.1650±0.0010,0.3042±0.0016,0.9927±0.0006,0.9805±0.0021,0.9958±0.0006,0.9931±0.0018,0.9900±0.0015
