HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	Enzyme IDs	NCBI Gene ID	Ensembl gene ID	Mouse genome database ID	Locus type
HGNC:5	A1BG	Approved			19q13.43		NM_130786		1	ENSG00000121410	MGI:2152878	gene with protein product
HGNC:37133	A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	NR_015380		503538	ENSG00000268895		RNA, long non-coding
HGNC:24086	A1CF	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790	NM_014576		29974	ENSG00000148584	MGI:1917115	gene with protein product
HGNC:6	A1S9T	Symbol Withdrawn										unknown
HGNC:7	A2M	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	NM_000014		2	ENSG00000175899	MGI:2449119	gene with protein product
HGNC:27057	A2M-AS1	Approved			12p13.31		NR_026971		144571	ENSG00000245105		RNA, long non-coding
HGNC:23336	A2ML1	Approved	CPAMD9	FLJ25179, p170	12p13.31	AK057908	NM_144670		144568	ENSG00000166535		gene with protein product
HGNC:41022	A2ML1-AS1	Approved			12p13.31					ENSG00000256661		RNA, long non-coding
HGNC:41523	A2ML1-AS2	Approved			12p13.31					ENSG00000256904		RNA, long non-coding
HGNC:8	A2MP1	Approved	A2MP		12p13.31	M24415	NG_001067		3	ENSG00000256069		pseudogene
HGNC:9	A2MR	Symbol Withdrawn										unknown
HGNC:10	A2MRAP	Symbol Withdrawn										unknown
HGNC:30005	A3GALT2	Approved	A3GALT2P	IGBS3S, IGB3S	1p35.1		NM_001080438		127550	ENSG00000184389	MGI:2685279	gene with protein product
HGNC:18149	A4GALT	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2		NM_017436	2.4.1.228	53947	ENSG00000128274	MGI:3512453	gene with protein product
HGNC:17968	A4GNT	Approved		alpha4GnT	3q22.3	AF141315	NM_016161		51146	ENSG00000118017	MGI:2143261	gene with protein product
HGNC:1	A12M1	Entry Withdrawn										unknown
HGNC:2	A12M2	Entry Withdrawn										unknown
HGNC:3	A12M3	Entry Withdrawn										unknown
HGNC:4	A12M4	Entry Withdrawn										unknown
HGNC:11	AA	Symbol Withdrawn	AA		11p15							phenotype only
HGNC:13666	AAAS	Approved			12q13.13	AJ289841			8086	ENSG00000094914	MGI:2443767	gene with protein product
HGNC:12	AABT	Entry Withdrawn										unknown
HGNC:13	AAC1	Symbol Withdrawn										unknown
HGNC:14	AAC2	Symbol Withdrawn										unknown
HGNC:21298	AACS	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	NM_023928	6.2.1.16	65985	ENSG00000081760	MGI:1926144	gene with protein product
HGNC:18226	AACSP1	Approved	AACSL		5q35.3		NR_024035		729522	ENSG00000250420		pseudogene
HGNC:13792	AACT	Symbol Withdrawn										unknown
HGNC:17	AADAC	Approved		DAC, CES5A1	3q25.1	L32179	NM_001086	3.1.1.3	13	ENSG00000114771	MGI:1915008	gene with protein product
HGNC:24427	AADACL2	Approved		MGC72001	3q25.1	BC065724	NM_207365		344752	ENSG00000197953	MGI:3646333	gene with protein product
HGNC:50301	AADACL2-AS1	Approved			3q25.1				101928142	ENSG00000242908		RNA, long non-coding
HGNC:32037	AADACL3	Approved		OTTHUMG00000001887	1p36.21		NM_001103170		126767	ENSG00000188984	MGI:2685281	gene with protein product
HGNC:32038	AADACL4	Approved		OTTHUMG00000001889	1p36.21		NM_001013630		343066	ENSG00000204518		gene with protein product
HGNC:50305	AADACP1	Approved			3q25.1				201651	ENSG00000240602		pseudogene
HGNC:17929	AADAT	Approved		KATII, KAT2, KYAT2	4q33	AF097994	NM_016228	2.6.1.39, 2.6.1.7	51166	ENSG00000109576	MGI:1345167	gene with protein product
HGNC:25662	AAGAB	Approved		FLJ11506, p34	15q23	AL136715	NM_024666		79719	ENSG00000103591	MGI:1914189	gene with protein product
HGNC:19679	AAK1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	NM_014911		22848	ENSG00000115977	MGI:1098687	gene with protein product
HGNC:30205	AAMDC	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	NM_024684		28971	ENSG00000087884	MGI:1913523	gene with protein product
HGNC:18	AAMP	Approved			2q35	AB209790	NM_001087		14	ENSG00000127837	MGI:107809	gene with protein product
HGNC:19	AANAT	Approved		SNAT	17q25.1	U40347	NM_001088	2.3.1.87	15	ENSG00000129673	MGI:1328365	gene with protein product
HGNC:15886	AAR2	Approved	C20orf4	bA234K24.2	20q11.23		NM_015511		25980	ENSG00000131043	MGI:1915545	gene with protein product
